natural_object|artifact, artefact
likelihood|unlikelihood, unlikeliness, unlikelihood, unlikeliness
likeliness|unlikelihood, unlikeliness, unlikelihood, unlikeliness
uncertainty|certainty, sure_thing, foregone_conclusion
uncertainness|certainty, sure_thing, foregone_conclusion
precariousness|certainty, sure_thing, foregone_conclusion
inconclusiveness|finality, conclusiveness, decisiveness
unpredictability|predictability
improbability|probability
improbableness|probability
unlikelihood|likelihood, likeliness, likelihood, likeliness
unlikeliness|likelihood, likeliness, likelihood, likeliness
factuality|counterfactuality
factualness|counterfactuality
counterfactuality|factuality, factualness
concreteness|abstractness
tangibility|intangibility, intangibleness, impalpability, intangibility, intangibleness, impalpability
tangibleness|intangibility, intangibleness, impalpability, intangibility, intangibleness, impalpability
palpability|intangibility, intangibleness, impalpability, intangibility, intangibleness, impalpability
intangibility|tangibility, tangibleness, palpability, tangibility, tangibleness, palpability
intangibleness|tangibility, tangibleness, palpability, tangibility, tangibleness, palpability
impalpability|tangibility, tangibleness, palpability, tangibility, tangibleness, palpability
materiality|immateriality, incorporeality, immateriality, incorporeality
physicalness|immateriality, incorporeality, immateriality, incorporeality
corporeality|immateriality, incorporeality, immateriality, incorporeality
corporality|immateriality, incorporeality, immateriality, incorporeality
substantiality|insubstantiality
substantialness|insubstantiality
solidness|insubstantiality
immateriality|materiality, physicalness, corporeality, corporality, materiality, physicalness, corporeality, corporality
incorporeality|materiality, physicalness, corporeality, corporality, materiality, physicalness, corporeality, corporality
insubstantiality|substantiality, substantialness, solidness
abstractness|concreteness
reality|unreality
unreality|reality
particularity|generality
specialness|generality
individuality|commonality, commonness
individualism|commonality, commonness
individuation|commonality, commonness
generality|particularity, specialness
commonality|individuality, individualism, individuation
commonness|individuality, individualism, individuation
simplicity|complexity, complexness
simpleness|complexity, complexness
complexity|simplicity, simpleness
complexness|simplicity, simpleness
regularity|irregularity, unregularity
evenness|unevenness, variability, unevenness, variability
invariability|unevenness, variability, unevenness, variability
steadiness|unsteadiness
irregularity|regularity
unregularity|regularity
unevenness|evenness, invariability, evenness, invariability
variability|evenness, invariability, evenness, invariability
unsteadiness|steadiness
mobility|immobility
motility|immotility
movability|immovability, immovableness, immovability, immovableness
movableness|immovability, immovableness, immovability, immovableness
looseness|tightness, tautness
play|tightness, tautness
unsteadiness|steadiness, firmness
ricketiness|steadiness, firmness
instability|stability, stableness, stability, stableness
unstableness|stability, stableness, stability, stableness
immobility|mobility
immotility|motility
immovability|movability, movableness, movability, movableness
immovableness|movability, movableness, movability, movableness
tightness|looseness, play
tautness|looseness, play
fastness|looseness
fixedness|looseness
fixity|looseness
fixture|looseness
secureness|looseness
looseness|fastness, fixedness, fixity, fixture, secureness
steadiness|unsteadiness, ricketiness
firmness|unsteadiness, ricketiness
stability|instability, unstableness, instability, unstableness
stableness|instability, unstableness, instability, unstableness
pleasantness|unpleasantness
sweetness|unpleasantness
agreeableness|disagreeableness
amenity|disagreeableness
niceness|nastiness
unpleasantness|pleasantness, sweetness
disagreeableness|agreeableness, amenity
nastiness|niceness
